,Serial No.,Name,ID Number,Time,Comments,Unnamed: 5
5428,5429,Niharika Reddy,21881A6664,22-09-2023 18:30,"The science fair presented a panorama of science wonders, offering diverse avenues for learning and discovery. #ScienceExploration",
5200,5201,Preethi Nair,21881A0558,29-09-2023 16:00,Participated in the hackathon and pushed my coding skills to the limit. A challenging but fulfilling experience. #HackathonSuccess,
6701,6702,Anupama Naidu,22881A0569,28-09-2023 18:30,"Engaged in an empowering entrepreneurship workshop, leaving me inspired and ready to launch my entrepreneurial endeavor. #EntrepreneurialDreams",
2945,2946,Pradeep Naidu,22881A0438,04-10-2023 20:00,The workshops on machine learning were insightful. Applied concepts in practical scenarios. #MLInsights,
9767,9768,Akhila Patel,21881A7379,30-09-2023 23:00,"Engaged in an electrifying gaming tournament, facing tough competition from top-notch gamers. #GamingThrills",
2874,2875,Divya Nair,21881A0599,30-09-2023 15:15,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
178,179,Sowmya Patel,21881A6657,20-09-2023 23:00,The gaming tournament brought out the competitive spirit. Thrills and excitement! #GamingThrills,
999,1000,Prakash Menon,22881A7338,16-09-2023 16:00,"Delved into the science fair, discovering an array of wonders in the world of science and providing rich opportunities for learning. #ScienceExploration",
6862,6863,Govind Reddy,22881A6655,17-09-2023 09:30,Neglectful,
8305,8306,Sowmya Patel,22881A0461,02-10-2023 16:00,Latest trends in technology at the tech expo. Exciting innovations ahead! #TechTrends,
7812,7813,Satish Nair,21881A0543,01-10-2023 17:45,The coding challenges were tough but exciting. Improved my problem-solving skills. #CodingChallenge,
1095,1096,Priya Kapoor,22881A0441,30-09-2023 23:00,Explored the tech expo and discovered the latest gadgets. Exciting innovations! #TechDiscoveries,
2435,2436,Madhuri Sharma,21881A6668,20-09-2023 17:45,Explored the depths of machine learning at the workshop. Invaluable insights! #MLInsights,
8807,8808,Deepa Sharma,21881A0550,17-09-2023 14:30,The career fair opened up new possibilities. Excited for the future. #CareerOpportunities,
4758,4759,Megha Reddy,22881A7355,21-09-2023 21:30,Art exhibition was a feast for the eyes. So much creativity showcased! #ArtisticFeast,
7247,7248,Aanya Joshi,22881A7367,01-10-2023 18:30,Felt so happy for attending the session,
6125,6126,Prashant Reddy,22881A7253,30-09-2023 21:30,"Joined an inspirational entrepreneurship workshop, now driven to commence my own business venture. #EntrepreneurialDreams",
6101,6102,Revathi Iyer,22881A7271,17-09-2023 22:15,Speech session was too sleepy to hear. Fantastic for new learners. Rock and Roll!,
